"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","NGA","","","","WQ1","10.2","10.23000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","NGA","","","","WQ5","86.9","86.94000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","EMR","","PAK","","","","WQ1","20.8","20.79000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","EMR","","PAK","","","","WQ3","37.5","37.47000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","EMR","","PAK","","","","WQ5","77.3","77.29000","","",""
"pncall3","EQ_DHS","PUBLISHED","2004","AMR","","PER","","","","WQ2","70.8","70.85000","","","Continuous DHS 2004-2008. "
"pncall3","EQ_DHS","PUBLISHED","2004","AMR","","PER","","","","WQ4","97.5","97.48000","","","Continuous DHS 2004-2008. "
"pncall3","EQ_DHS","PUBLISHED","2008","WPR","","PHL","","","","WQ1","35.4","35.41000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","WPR","","PHL","","","","WQ1","34.0","33.97000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","WPR","","PHL","","","","WQ3","61.0","61.04000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","RWA","","","","WQ1","73.3","73.27000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","RWA","","","","WQ3","80.0","79.98000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","AFR","","RWA","","","","WQ3","73.8","73.81000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","AFR","","RWA","","","","WQ5","89.6","89.65000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","STP","","","","WQ1","75.2","75.24000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","STP","","","","WQ3","89.0","89.04000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","SEN","","","","WQ5","99.0","98.97000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","AFR","","SEN","","","","WQ2","73.9","73.87000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","SLE","","","","WQ3","41.4","41.37000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","SLE","","","","WQ5","58.6","58.65000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","SLE","","","","WQ5","62.0","61.98000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","AFR","","SWZ","","","","WQ3","84.4","84.36000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","AFR","","SWZ","","","","WQ5","94.1","94.14000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","SWZ","","","","WQ2","68.3","68.33000","","",""
"pncall3","EQ_DHS","PUBLISHED","2009","SEAR","","TLS","","","","WQ2","10.8","10.79000","","",""
"pncall5","EQ_DHS","PUBLISHED","2009","SEAR","","TLS","","","","WQ4","32.3","32.27000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","AFR","","UGA","","","","WQ2","35.0","35.03000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","UGA","","","","WQ4","52.5","52.50000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","EUR","","UKR","","","","WQ4","100.0","100.00000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","EUR","","UKR","","","","WQ1","100.0","100.00000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","TZA","","","","WQ2","40.9","40.93000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","TZA","","","","WQ4","65.5","65.46000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AFR","","ZMB","","","","WQ1","33.1","33.14000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AFR","","ZMB","","","","WQ3","40.3","40.33000","","",""
