Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Tuvalu,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Uganda,Number of births,Total,2018,1627.397,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Ukraine,Number of births,Total,2018,421.386,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
United Arab Emirates,Number of births,Total,2018,100.294,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
United Kingdom,Number of births,Total,2018,775.221,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
United Republic of Tanzania,Number of births,Total,2018,2070.79,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
United States,Number of births,Total,2018,3912.402,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Uruguay,Number of births,Total,2018,47.788,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Uzbekistan,Number of births,Total,2018,696.451,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Vanuatu,Number of births,Total,2018,8.659,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Venezuela (Bolivarian Republic of),Number of births,Total,2018,524.032,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Viet Nam,Number of births,Total,2018,1598.19,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Yemen,Number of births,Total,2018,867.969,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Zambia,Number of births,Total,2018,629.055,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Zimbabwe,Number of births,Total,2018,442.553,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
