GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,EDUCATIONLEVEL,SEX,RESIDENCEAREATYPE,WEALTHQUINTILE,DHSMICSGEOREGION,WEALTHDECILE,Display Value,Numeric,Low,High,Comments
imr,EQ_MICS,PUBLISHED,2000,AFR,SLE,,,,,,WEALTHDECILE08,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2000,AFR,SLE,,,,,,WEALTHDECILE09,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,AFR,SLE,,,,,,WEALTHDECILE01,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,AFR,SLE,,,,,,WEALTHDECILE10,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,AFR,SLE,,,,,,WEALTHDECILE02,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2008,AFR,SLE,,,,,,WEALTHDECILE06,110.6 [91.7-132.8],110.62698,91.73242,132.84412,
imr,EQ_DHS,PUBLISHED,2008,AFR,SLE,,,,,,WEALTHDECILE07,100.0 [81.3-122.4],100.00097,81.32813,122.3899,
imr,EQ_DHS,PUBLISHED,2008,AFR,SLE,,,,,,WEALTHDECILE08,97.6 [76.5-123.7],97.59147,76.49448,123.72742,
imr,EQ_DHS,PUBLISHED,2008,AFR,SLE,,,,,,WEALTHDECILE09,76.0 [56.5-101.4],75.98434,56.51638,101.43739,
imr,EQ_MICS,PUBLISHED,2010,AFR,SLE,,,,,,WEALTHDECILE01,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,AFR,SLE,,,,,,WEALTHDECILE10,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2013,AFR,SLE,,,,,,WEALTHDECILE05,120.9 [107.2-136.1],120.87145,107.16465,136.06424,
imr,EQ_DHS,PUBLISHED,2013,AFR,SLE,,,,,,WEALTHDECILE06,112.6 [95.2-132.8],112.62487,95.20873,132.75941,
imr,EQ_DHS,PUBLISHED,2013,AFR,SLE,,,,,,WEALTHDECILE07,96.4 [83.3-111.2],96.36285,83.2923,111.23559,
imr,EQ_DHS,PUBLISHED,2013,AFR,SLE,,,,,,WEALTHDECILE08,109.1 [94.0-126.3],109.09123,93.98095,126.29229,
imr,EQ_MICS,PUBLISHED,2006,EMR,SOM,,,,,,WEALTHDECILE04,86.1 [68.7-107.4],86.06702,68.65578,107.38466,
imr,EQ_MICS,PUBLISHED,2006,EMR,SOM,,,,,,WEALTHDECILE05,89.2 [74.4-106.6],89.1935,74.38107,106.61594,
imr,EQ_MICS,PUBLISHED,2006,EMR,SOM,,,,,,WEALTHDECILE06,87.6 [72.0-106.1],87.55069,71.99277,106.0864,
imr,EQ_MICS,PUBLISHED,2006,EMR,SOM,,,,,,WEALTHDECILE07,83.0 [67.9-101.2],83.02282,67.87424,101.18533,
imr,EQ_DHS,PUBLISHED,2003,AFR,ZAF,,,,,,WEALTHDECILE02,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2003,AFR,ZAF,,,,,,WEALTHDECILE03,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2003,AFR,ZAF,,,,,,WEALTHDECILE04,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2003,AFR,ZAF,,,,,,WEALTHDECILE05,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2003,AFR,ZAF,,,,,,WEALTHDECILE06,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,AFR,SSD,,,,,,WEALTHDECILE10,83.4 [69.4-99.8],83.35721,69.41234,99.80313,
imr,EQ_MICS,PUBLISHED,2010,AFR,SSD,,,,,,WEALTHDECILE02,68.7 [57.7-81.5],68.6986,57.74717,81.54716,
imr,EQ_MICS,PUBLISHED,2010,AFR,SSD,,,,,,WEALTHDECILE03,64.0 [52.6-77.8],64.04038,52.57176,77.80546,
imr,EQ_MICS,PUBLISHED,2010,AFR,SSD,,,,,,WEALTHDECILE04,71.6 [60.8-84.1],71.56604,60.79799,84.07052,
imr,EQ_MICS,PUBLISHED,2010,EMR,SDN,,,,,,WEALTHDECILE09,45.8 [35.1-59.6],45.79593,35.06339,59.61065,
imr,EQ_MICS,PUBLISHED,2014,EMR,SDN,,,,,,WEALTHDECILE01,60.9 [51.2-72.2],60.86474,51.18286,72.23863,
imr,EQ_MICS,PUBLISHED,2014,EMR,SDN,,,,,,WEALTHDECILE10,33.8 [23.6-48.3],33.83593,23.5869,48.31801,
imr,EQ_MICS,PUBLISHED,2014,EMR,SDN,,,,,,WEALTHDECILE02,59.9 [51.8-69.3],59.93978,51.75118,69.32933,
imr,EQ_MICS,PUBLISHED,2014,EMR,SDN,,,,,,WEALTHDECILE03,49.7 [42.3-58.3],49.68738,42.32292,58.25535,
imr,EQ_MICS,PUBLISHED,1999,AMR,SUR,,,,,,WEALTHDECILE07,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,1999,AMR,SUR,,,,,,WEALTHDECILE08,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,1999,AMR,SUR,,,,,,WEALTHDECILE09,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,AMR,SUR,,,,,,WEALTHDECILE01,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,AMR,SUR,,,,,,WEALTHDECILE10,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,AMR,SUR,,,,,,WEALTHDECILE06,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,AMR,SUR,,,,,,WEALTHDECILE07,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,AMR,SUR,,,,,,WEALTHDECILE08,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,AMR,SUR,,,,,,WEALTHDECILE09,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2018,AMR,SUR,,,,,,WEALTHDECILE01,12.9 [6.9-23.8],12.88334,6.94695,23.77113,
imr,EQ_MICS,PUBLISHED,2006,EMR,SYR,,,,,,WEALTHDECILE05,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,EMR,SYR,,,,,,WEALTHDECILE06,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,EMR,SYR,,,,,,WEALTHDECILE07,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,EMR,SYR,,,,,,WEALTHDECILE08,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2012,EUR,TJK,,,,,,WEALTHDECILE03,48.7 [32.6-72.3],48.71256,32.56995,72.25832,
imr,EQ_DHS,PUBLISHED,2012,EUR,TJK,,,,,,WEALTHDECILE04,38.0 [24.9-57.5],37.9659,24.9044,57.47395,
imr,EQ_DHS,PUBLISHED,2012,EUR,TJK,,,,,,WEALTHDECILE05,42.7 [29.8-60.7],42.66403,29.79628,60.74091,
imr,EQ_DHS,PUBLISHED,2012,EUR,TJK,,,,,,WEALTHDECILE06,37.7 [26.9-52.6],37.71469,26.92695,52.59072,
imr,EQ_MICS,PUBLISHED,2005,SEAR,THA,,,,,,WEALTHDECILE02,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,SEAR,THA,,,,,,WEALTHDECILE03,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,SEAR,THA,,,,,,WEALTHDECILE04,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,SEAR,THA,,,,,,WEALTHDECILE05,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2012,SEAR,THA,,,,,,WEALTHDECILE03,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2012,SEAR,THA,,,,,,WEALTHDECILE04,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2012,SEAR,THA,,,,,,WEALTHDECILE05,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2012,SEAR,THA,,,,,,WEALTHDECILE06,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2015,SEAR,THA,,,,,,WEALTHDECILE01,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2009,SEAR,TLS,,,,,,WEALTHDECILE05,54.6 [44.5-66.9],54.62835,44.47188,66.94185,
imr,EQ_DHS,PUBLISHED,2009,SEAR,TLS,,,,,,WEALTHDECILE06,63.5 [51.6-78.0],63.52168,51.56894,78.01695,
imr,EQ_DHS,PUBLISHED,2009,SEAR,TLS,,,,,,WEALTHDECILE07,68.1 [55.0-84.0],68.06084,54.97888,83.979,
imr,EQ_DHS,PUBLISHED,2009,SEAR,TLS,,,,,,WEALTHDECILE08,41.6 [32.3-53.3],41.55403,32.28304,53.34068,
imr,EQ_DHS,PUBLISHED,1998,AFR,TGO,,,,,,WEALTHDECILE03,85.0 [72.0-100.1],85.00138,71.96922,100.13876,
imr,EQ_DHS,PUBLISHED,1998,AFR,TGO,,,,,,WEALTHDECILE04,77.8 [64.3-93.7],77.7691,64.34197,93.71758,
imr,EQ_DHS,PUBLISHED,1998,AFR,TGO,,,,,,WEALTHDECILE05,102.6 [85.5-122.7],102.59004,85.48026,122.66516,
imr,EQ_DHS,PUBLISHED,1998,AFR,TGO,,,,,,WEALTHDECILE06,76.0 [60.2-95.4],75.97301,60.22362,95.42289,
