"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","WPR","AUS","TOTL","64","64.21299","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","WPR","AUS","TOTL","66","65.97097","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","WPR","AUS","TOTL","72","72.12391","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2015","WPR","AUS","TOTL","74","73.88189","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2001","EUR","AUT","TOTL","97","96.91547","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2002","EUR","AUT","RUR","92","92.30141","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2003","EUR","AUT","URB","100","99.99727","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","EUR","AUT","TOTL","97","96.84735","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","EUR","AUT","URB","100","99.98786","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EUR","AUT","TOTL","97","96.77686","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2009","EUR","AUT","URB","100","99.97845","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","EUR","AUT","TOTL","97","96.70615","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","EUR","AUT","RUR","92","92.30141","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","EUR","AUT","URB","100","99.96905","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2002","EUR","AZE","URB","72","71.91543","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EUR","AZE","URB","79","79.07684","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2009","EUR","AZE","URB","83","82.83950","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2011","EUR","AZE","URB","87","86.68970","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","EUR","AZE","URB","92","92.28501","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","EMR","BHR","TOTL","96","95.85440","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EMR","BHR","TOTL","96","95.94904","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2009","EMR","BHR","TOTL","96","95.97608","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2015","EUR","AUT","RUR","92","92.30141","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2015","EUR","AUT","URB","100","99.95964","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","EUR","AZE","URB","70","70.23019","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","EUR","BLR","URB","86","85.80845","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","EUR","BLR","TOTL","84","84.11025","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","EUR","BLR","RUR","80","80.39297","","",""
